City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Bathsheba,13.2167,-59.5167,80.78,65,15,17.85,BB,2022-01-09 17:01:40
98,Constitucion,-35.3333,-72.4167,68.77,67,87,8.01,CL,2022-01-09 16:57:13
99,Tabory,58.5198,64.5495,3.88,89,20,7.87,RU,2022-01-09 17:01:40
100,Berlevag,70.8578,29.0864,24.8,60,100,15.64,NO,2022-01-09 17:01:40
101,Hamilton,39.1834,-84.5333,46.11,95,100,5.99,US,2022-01-09 16:59:32
102,Ginir,7.1333,40.7,63.27,57,62,4.07,ET,2022-01-09 17:01:41
103,Ribeira Grande,38.5167,-28.7,63.0,67,75,13.8,PT,2022-01-09 17:01:41
104,Mecca,21.4267,39.8261,78.6,58,0,6.89,SA,2022-01-09 17:01:41
105,Kinsale,51.7075,-8.5306,47.57,100,100,3.44,IE,2022-01-09 17:01:42
106,Temir,49.1414,57.13,2.16,80,3,9.04,KZ,2022-01-09 17:01:42
107,San Carlos,9.6612,-68.5827,93.88,27,67,3.47,VE,2022-01-09 17:01:42
108,Lagoa,39.05,-27.9833,59.31,68,100,9.51,PT,2022-01-09 17:01:43
109,Hilo,19.7297,-155.09,66.11,94,0,3.0,US,2022-01-09 17:01:43
110,Puerto Ayora,-0.7393,-90.3518,80.56,80,63,7.09,EC,2022-01-09 16:59:40
111,Gewane,10.1664,40.6453,84.04,40,6,6.13,ET,2022-01-09 17:01:43
112,Khatanga,71.9667,102.5,-20.56,100,61,3.15,RU,2022-01-09 17:01:44
113,Beringovskiy,63.05,179.3167,-14.12,91,20,10.67,RU,2022-01-09 17:01:44
114,Cabedelo,-6.9811,-34.8339,85.17,61,50,13.18,BR,2022-01-09 17:01:44
115,Impfondo,1.6381,18.0667,86.76,38,76,2.08,CG,2022-01-09 17:01:45
116,Bethel,41.3712,-73.414,40.5,71,100,1.01,US,2022-01-09 17:01:45
117,Elizabeth City,36.2946,-76.2511,59.05,79,31,1.01,US,2022-01-09 17:01:45
118,Albany,42.6001,-73.9662,35.67,89,100,1.01,US,2022-01-09 17:00:18
119,Koslan,63.4564,48.8989,3.72,96,100,5.86,RU,2022-01-09 17:01:46
120,San Patricio,28.017,-97.5169,78.66,82,74,5.7,US,2022-01-09 17:01:46
121,Avera,33.194,-82.5271,58.91,77,80,8.05,US,2022-01-09 17:01:46
122,Chuy,-33.6971,-53.4616,81.54,46,3,18.3,UY,2022-01-09 17:01:47
123,Loreto,22.2667,-101.9667,64.94,17,0,2.26,MX,2022-01-09 17:01:47
124,Sao Filipe,14.8961,-24.4956,74.21,61,99,6.89,CV,2022-01-09 17:01:47
125,Nome,64.5011,-165.4064,3.27,60,0,35.68,US,2022-01-09 17:01:38
126,Maceio,-9.6658,-35.7353,90.84,55,20,14.97,BR,2022-01-09 16:59:33
127,Dong Xoai,11.5333,106.9167,70.38,87,22,3.47,VN,2022-01-09 16:56:50
128,Kavieng,-2.5744,150.7967,81.27,76,100,7.76,PG,2022-01-09 17:01:48
129,Clyde River,70.4692,-68.5914,-7.37,84,100,26.46,CA,2022-01-09 17:01:48
130,Pecos,31.4229,-103.4932,46.06,45,0,14.97,US,2022-01-09 17:01:48
131,Grindavik,63.8424,-22.4338,41.47,81,100,35.68,IS,2022-01-09 17:01:49
132,Fort Nelson,58.8053,-122.7002,-14.35,99,100,0.96,CA,2022-01-09 17:00:24
133,Surt,31.2089,16.5887,59.29,60,77,28.43,LY,2022-01-09 17:01:49
134,Bengkulu,-3.8004,102.2655,76.57,89,99,2.26,ID,2022-01-09 17:01:49
135,Ponta Do Sol,32.6667,-17.1,70.72,71,98,9.89,PT,2022-01-09 16:59:31
136,Kijang,35.2442,129.2139,42.19,66,47,5.19,KR,2022-01-09 17:02:50
137,Dongsheng,39.8161,109.9776,19.62,50,100,13.27,CN,2022-01-09 17:00:30
138,Peniche,39.3558,-9.3811,58.62,83,73,9.13,PT,2022-01-09 17:02:50
139,Norman Wells,65.282,-126.8329,-37.8,100,58,1.83,CA,2022-01-09 17:02:51
140,Sinnamary,5.3833,-52.95,80.46,70,74,7.38,GF,2022-01-09 17:01:13
141,Cabo San Lucas,22.8909,-109.9124,71.51,61,98,5.17,MX,2022-01-09 16:58:39
142,Tadine,-21.55,167.8833,77.72,84,25,19.69,NC,2022-01-09 17:02:51
143,Buchanan,5.8808,-10.0467,84.47,68,87,10.58,LR,2022-01-09 17:02:51
144,North Battleford,52.7834,-108.2847,-13.59,85,100,2.24,CA,2022-01-09 17:02:52
145,Finnsnes,69.2296,17.9811,19.35,96,65,5.12,NO,2022-01-09 17:02:52
146,Steamboat Springs,40.485,-106.8317,26.1,88,0,0.0,US,2022-01-09 17:02:52
147,Castro,-24.7911,-50.0119,65.8,73,100,8.28,BR,2022-01-09 17:01:19
148,Namibe,-15.1961,12.1522,70.88,72,76,12.97,AO,2022-01-09 17:02:53
149,Antofagasta,-23.65,-70.4,75.22,52,73,7.9,CL,2022-01-09 17:01:56
150,Harper,4.375,-7.7169,82.74,72,99,10.69,LR,2022-01-09 17:02:53
151,Wanganui,-39.9333,175.05,64.74,87,99,8.55,NZ,2022-01-09 17:02:54
152,Jalu,29.0331,21.5482,55.87,47,17,12.64,LY,2022-01-09 17:02:54
153,Fortuna,40.5982,-124.1573,43.93,88,0,7.0,US,2022-01-09 17:02:54
154,Boueni,-12.9025,45.0761,78.78,77,100,8.34,YT,2022-01-09 17:02:54
155,Porto Novo,6.4965,2.6036,86.7,56,12,9.71,BJ,2022-01-09 17:00:19
156,Kang,-23.6752,22.7876,81.03,41,76,11.21,BW,2022-01-09 17:02:55
157,Vila Franca Do Campo,37.7167,-25.4333,61.21,62,57,10.74,PT,2022-01-09 17:00:46
158,Mahibadhoo,3.7833,72.9667,81.61,74,83,8.08,MV,2022-01-09 17:02:55
159,New Norfolk,-42.7826,147.0587,60.3,83,82,0.65,AU,2022-01-09 17:02:56
160,Dikson,73.5069,80.5464,-6.95,97,100,13.65,RU,2022-01-09 17:02:56
161,Ankazoabo,-22.2833,44.5167,71.17,81,100,4.56,MG,2022-01-09 17:02:56
162,Quang Ngai,15.1167,108.8,71.53,90,78,0.76,VN,2022-01-09 17:02:57
163,Itarema,-2.9248,-39.9167,86.72,60,100,14.83,BR,2022-01-09 17:02:57
164,Roma,43.2128,-75.4557,40.84,92,100,5.75,US,2022-01-09 17:02:57
165,Tateyama,34.9833,139.8667,48.22,72,100,17.72,JP,2022-01-09 17:02:57
166,Merauke,-8.4667,140.3333,78.82,83,100,9.71,ID,2022-01-09 17:02:58
167,Penzance,50.1186,-5.5371,48.76,92,100,12.5,GB,2022-01-09 17:02:58
168,Atambua,-9.1061,124.8925,73.78,86,90,2.04,ID,2022-01-09 17:02:58
169,Sangar,63.9242,127.4739,-45.35,98,73,2.89,RU,2022-01-09 17:02:59
170,Clyde,41.3042,-82.9752,38.91,80,100,19.48,US,2022-01-09 17:02:59
171,Pangkalanbuun,-2.6833,111.6167,74.77,96,72,2.04,ID,2022-01-09 17:02:59
172,Mar Del Plata,-38.0023,-57.5575,73.87,1,43,18.99,AR,2022-01-09 17:03:00
173,Touros,-5.1989,-35.4608,86.86,58,52,14.99,BR,2022-01-09 17:03:00
174,Yellowknife,62.456,-114.3525,-25.58,84,19,10.0,CA,2022-01-09 17:03:00
175,Hofn,64.2539,-15.2082,41.76,84,93,10.56,IS,2022-01-09 17:01:53
176,Sambava,-14.2667,50.1667,74.35,96,100,1.72,MG,2022-01-09 17:01:58
